delay_ms,cond,seed,rms,p50,p90,p99,max,jerk
200,P2,4,3.1143868166635635,2.0349739101356,5.445260347164989,6.5695797303101005,7.8361222036050435,69875.96575735073
200,P3,4,3.2332312622798547,2.700451939966906,5.087017270770237,5.772207864076459,6.107013612669107,77271.22556245833
400,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
400,naive,-1,13.726724410920346,11.13881626317576,21.213981743107254,24.63977387883695,25.676110355640162,47419.76824709249
400,P0,0,6.326123499370401,4.927025409014618,10.370998840712337,13.380399516140429,15.404843472134026,138182.75896912892
400,P1,0,8.043805417161364,5.81358338428323,12.892628990083887,17.574660895292457,18.840106351148975,98285.88380154897
400,P2,0,6.2458841862513275,6.049608576962626,8.664020320105996,9.581889490068425,10.883715856455794,72426.88491805295
400,P3,0,6.250690972381694,5.837190453344907,9.112463643831134,10.314046225617778,11.948564734202051,64907.21265045871
400,P0,1,7.549292544836445,5.33074485014464,12.205737951055164,16.123645712659208,21.702971386862004,165512.06250660817
400,P1,1,9.061395941694064,6.925369352130654,14.292966980577395,17.173333164811353,19.43998697852446,104673.66715727166
400,P2,1,6.987951420862497,5.23308213415928,11.724371948282348,13.139196069220162,15.124592557666247,76851.89316634322
400,P3,1,6.455682175963298,5.547404056689359,9.947409358469244,11.787422486085807,14.469840319857411,105519.78789474272
400,P0,2,7.332710060454819,5.690680290769616,12.238669550095045,13.875265506844608,17.197601119033777,92285.76521626693
400,P1,2,9.383909535273924,7.461813006313302,15.307409330755817,19.257324828994445,23.08877265125497,86316.20029808552
400,P2,2,6.6439387389988775,5.992605129297279,9.962979252404816,11.114382020157345,12.857891491099736,64231.85797308202
400,P3,2,8.174330070208077,5.363248568288877,14.679973015440899,16.736428424609638,20.030355056717667,90450.64128265192
400,P0,3,6.768153862888955,5.213240115278235,10.766480086516717,15.029666356210774,19.586508309395413,128524.01122184412
400,P1,3,8.23783743969033,7.3197083218441605,12.376955136409132,15.177324468175192,18.27483446475695,81245.13252352894
400,P2,3,6.416701350028457,6.284906867252668,9.159842140122839,10.35828019925387,11.648478163042626,98555.72997130151
400,P3,3,7.663974159815069,7.169293123590147,11.552631958301552,13.104461732279034,15.791840669140313,46825.523283418326
400,P0,4,9.100701861099504,5.994242350461993,16.212115756294406,20.479641689393038,21.78321368617098,102775.20612987036
400,P1,4,8.929062263207152,6.597837518896038,15.165426191568551,17.59257225496982,18.608018846389,106506.79638324182
400,P2,4,6.634261478926654,6.552084979177759,9.167547015216448,10.580923362934598,12.347191673703492,69452.70747856826
400,P3,4,6.425364759939703,5.351315459507504,10.150257147994699,12.315937784485783,14.974884897693642,157931.48347357285
800,teacher,-1,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
800,naive,-1,19.099785905873542,15.65373043973734,30.235417167366904,34.236412838595015,34.71290119326579,47597.20584799951
800,P0,0,16.70718423381405,13.525218701243,28.65697842762062,31.964029106217964,34.32610196960621,90626.73654977216
800,P1,0,15.85980341050175,11.831589084534471,26.29578710094917,29.434501603881984,32.39759746130407,135238.72578511396
800,P2,0,11.787393033025921,10.684857793467534,17.212302482704555,20.300222978536045,26.664275533273994,23178.60463908917
800,P3,0,13.72356536741586,10.547998688399849,21.799063456681328,22.953818137195373,28.727951871903016,69701.86427823453
800,P0,1,14.158909724905806,11.171675940326248,22.642513237737916,27.963801962389624,32.85933627876605,145544.11509286918
800,P1,1,17.315342965122195,13.762115958594402,26.832461775016167,31.509238283055925,31.769447151015115,102041.10712267447
800,P2,1,12.44498199706633,10.42498147048947,19.255352884188895,21.090376078474673,28.29719033450864,15483.916443548316
