cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
P2,3,100.0,25.0,0.0,2.0882619910390283,1.4398443036131283,3.5538613095058196,5.035312124882154,6.197209962764063,96381.45980173604
P3,3,100.0,25.0,0.0,2.1245903339564225,1.4472766899931553,3.6200757003601325,4.738209822872283,6.10115487989647,80121.47853234787
P0,4,100.0,25.0,0.0,1.93988872167537,1.4271014051247544,2.9396099967911717,5.439322135611017,7.8721217285588665,55104.3838921164
P1,4,100.0,25.0,0.0,1.821745014890098,1.4830301557687637,2.8227137085659897,3.3594287440549238,3.8096239698386114,28551.373307695103
P2,4,100.0,25.0,0.0,1.3125616192279776,0.9364929999436811,2.209961446150421,2.8629611851826318,3.732130766646108,67777.05538240325
P3,4,100.0,25.0,0.0,1.9314685597590302,1.5144428223466473,3.1119690018659676,4.144098210791891,4.825068531041296,84539.67593151012
teacher,-1,100.0,50.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,50.0,0.0,6.561285547927006,5.415197782059546,10.139840649585215,12.9471267841295,15.15349968511211,50840.4321536462
P0,0,100.0,50.0,0.0,2.081432726340399,1.4308304173095887,3.278393011439462,5.677913859771209,7.550249058948282,54964.263739267604
P1,0,100.0,50.0,0.0,1.7404845791288432,1.338209745095914,2.7440322606861827,4.100800238925743,5.604514384325,33040.91326371911
P2,0,100.0,50.0,0.0,2.0494800609275665,1.4254507480155496,3.6151665653133356,4.73982046657305,5.868509934459368,72169.52356855132
P3,0,100.0,50.0,0.0,2.1603064480278027,1.631572389316986,3.606871415463521,4.901585600049714,6.655593505758631,84412.54692528669
P0,1,100.0,50.0,0.0,2.146395680779627,1.191790483656651,3.719959733726308,5.859381646851053,8.13155938776488,56308.184292803366
P1,1,100.0,50.0,0.0,1.7604583935839244,1.1757517383468183,2.764890637591037,4.595696348395056,6.602309325603244,29617.150822453837
P2,1,100.0,50.0,0.0,2.427094267664471,1.4955608321764515,4.095032731180254,6.414104036634934,8.493255096434211,87291.23986660382
P3,1,100.0,50.0,0.0,2.6414886129599586,1.6542343996153004,4.556695581740996,6.85178035032763,9.526638249806325,91021.3875073424
P0,2,100.0,50.0,0.0,2.0830818549949233,1.2954276477969369,3.3363158310862295,6.2292250879294215,8.38003233312088,60723.50116371067
P1,2,100.0,50.0,0.0,1.737494481108051,1.4529016131162962,2.6876025804955126,3.593307077227711,4.2190960159079225,33677.04734614552
P2,2,100.0,50.0,0.0,2.1354245512096273,1.4630985728706964,3.5868942199553167,5.325704500999156,6.877404696059756,92739.4211763544
P3,2,100.0,50.0,0.0,2.7549190688263603,1.9159092853954671,4.3243854993611235,7.783957179455693,11.209860024804186,106706.69971108298
P0,3,100.0,50.0,0.0,2.0328263365815604,1.1573305330747463,3.395790842815918,5.937812054838948,8.213554688050834,52144.22582519234
P1,3,100.0,50.0,0.0,1.4852313947393647,0.8695262811437582,2.4284195845782315,4.559490387744314,6.532091670207976,27546.530245771908
P2,3,100.0,50.0,0.0,2.4612417084980476,1.5164095237058273,4.126566555043297,6.471126191984264,8.64969725166489,87064.8014949863
P3,3,100.0,50.0,0.0,2.503215894515498,1.5622946870917265,4.258703172655771,5.9334361587497755,8.355342189173228,71020.10026336777
P0,4,100.0,50.0,0.0,2.383673781085694,1.6122300862689798,3.7596672887457174,6.524132421594719,8.93518602449032,53706.17861384496
P1,4,100.0,50.0,0.0,1.9881129827582213,1.401402006762486,3.4268760243512255,4.778054646194903,6.062813918363474,31460.958801379045
P2,4,100.0,50.0,0.0,2.3577057064614593,1.481092540309812,3.947863610088286,4.877169425142398,6.800864728503171,73932.66731544318
P3,4,100.0,50.0,0.0,1.767997553847729,1.210857175715778,3.018630036768395,4.047316825049298,4.8237745355618245,108744.22452187877
teacher,-1,100.0,100.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,100.0,0.0,6.94444142417587,5.699236824784966,10.80852170294854,14.664372243078196,16.96021713062511,51058.88963836123
P0,0,100.0,100.0,0.0,2.9142795302193183,1.4695653450269457,5.102964533942422,7.898701426420388,10.108549522565482,56305.80929188284
P1,0,100.0,100.0,0.0,2.1976100802620313,1.660687096283984,3.4402776124527463,5.322195224803551,6.135853691165622,41060.93541117658
P2,0,100.0,100.0,0.0,2.7191947755060006,1.4153361530602429,4.807592900060115,6.750309617724146,7.7943347976116115,81145.27461674639
P3,0,100.0,100.0,0.0,2.5298998789854936,1.4848840753404413,4.475526850622903,5.96269272852533,7.366710254099132,93938.35975679429
P0,1,100.0,100.0,0.0,2.9418017296567935,2.1358265907101526,5.173893869790301,6.405873704583584,7.323335132753968,55490.510783545025
P1,1,100.0,100.0,0.0,2.2850904387784627,1.6077848430214488,3.7204289132412782,5.850816358467441,7.612878607122525,37999.66713229188
P2,1,100.0,100.0,0.0,3.982355643598345,2.5013040572841256,5.981056477848388,12.080845849701438,14.995815764018417,69839.49653074397
P3,1,100.0,100.0,0.0,2.9903889165746644,1.8089426228278758,4.6572391569136515,9.773511651597564,13.937290446755583,91606.96614797862
P0,2,100.0,100.0,0.0,2.890459689493953,1.9601629220196155,4.621175166984817,7.902045298673755,9.87196842563155,51528.83684748985
P1,2,100.0,100.0,0.0,2.4286781518397134,1.724617910946345,3.778833285999885,6.022836295119873,8.756882962275029,44484.35765613109
P2,2,100.0,100.0,0.0,3.394367836224036,2.036603382231528,5.206043066571415,10.463675346098691,13.469409372852567,112436.23136878427
P3,2,100.0,100.0,0.0,3.461220069415777,2.191681171714085,5.3618857511805444,10.295306570770856,14.247535749339448,105379.21377350665
P0,3,100.0,100.0,0.0,3.2168143088327397,2.1291013178095803,5.794905810094818,7.469192274426433,8.320470166857618,57123.999168424845
P1,3,100.0,100.0,0.0,2.1360229960173474,1.3328525952121832,3.537892640902996,5.6399718523389595,7.314710639275589,46674.90237901222
P2,3,100.0,100.0,0.0,3.3160512307608827,2.085880408500818,5.156697413880759,9.954476303334559,13.417749742710626,89834.76715048915
P3,3,100.0,100.0,0.0,3.284653919564242,2.070847576111992,5.244306087675592,9.9787407852017,13.713143561085872,96236.7903022578
P0,4,100.0,100.0,0.0,3.391170719093647,2.548792372587968,5.509628099134929,7.146502139065959,8.938519486289735,56895.97002675947
P1,4,100.0,100.0,0.0,2.202329007146016,1.3670690408736021,3.6197487329057196,5.746072701211541,6.461044465014837,41385.15192785489
P2,4,100.0,100.0,0.0,2.870272375197969,1.8198854154292405,4.852891614725233,6.536934139950371,9.015070280518984,65243.1238233461
P3,4,100.0,100.0,0.0,2.914460285772542,2.0839073115292828,4.728825568592076,8.21119086850591,11.718700455596931,104779.84247997524
teacher,-1,100.0,200.0,0.0,0.09210421688414698,0.06527826855017338,0.1496644966478963,0.1591206515677849,0.1810889030031717,293.04013702404484
naive,-1,100.0,200.0,0.0,7.777855521895767,5.860543546186686,12.52967092824897,17.168568938488878,21.252612150678985,51148.58922865529
P0,0,100.0,200.0,0.0,4.205527668099518,2.3738981972347895,7.04807723623226,13.09285033740366,16.47477874641224,51222.40598159691
